"filename", "language", "Properties", "JavaScript", "TypeScript", "JSON with Comments", "vue", "CSS", "Python", "Less", "XML", "Markdown", "JSON", "HTML", "YAML", "comment", "blank", "total"
"d:\workspace\cj\src\views\Chat\Chat.vue", "vue", 0, 0, 0, 0, 395, 0, 0, 0, 0, 0, 0, 0, 0, 4, 64, 463
"d:\workspace\cj\src\views\Detail\Detail copy.vue", "vue", 0, 0, 0, 0, 568, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65, 634
"d:\workspace\cj\src\views\Detail\Detail.vue", "vue", 0, 0, 0, 0, 821, 0, 0, 0, 0, 0, 0, 0, 0, 6, 95, 922
"d:\workspace\cj\src\views\Explore\Explore copy.vue", "vue", 0, 0, 0, 0, 1107, 0, 0, 0, 0, 0, 0, 0, 0, 10, 147, 1264
"d:\workspace\cj\src\views\Explore\Explore.vue", "vue", 0, 0, 0, 0, 1108, 0, 0, 0, 0, 0, 0, 0, 0, 10, 147, 1265
"d:\workspace\cj\src\views\Home\Home copy.vue", "vue", 0, 0, 0, 0, 719, 0, 0, 0, 0, 0, 0, 0, 0, 28, 94, 841
"d:\workspace\cj\src\views\Home\Home.vue", "vue", 0, 0, 0, 0, 746, 0, 0, 0, 0, 0, 0, 0, 0, 12, 99, 857
"d:\workspace\cj\src\views\IndexView\IndexView.vue", "vue", 0, 0, 0, 0, 421, 0, 0, 0, 0, 0, 0, 0, 0, 8, 54, 483
"d:\workspace\cj\src\views\Likes\Likes.vue", "vue", 0, 0, 0, 0, 419, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68, 494
"d:\workspace\cj\src\views\ManaCenter\ManaCenter.vue", "vue", 0, 0, 0, 0, 385, 0, 0, 0, 0, 0, 0, 0, 0, 10, 49, 444
"d:\workspace\cj\src\views\Mana\Mana.vue", "vue", 0, 0, 0, 0, 502, 0, 0, 0, 0, 0, 0, 0, 0, 15, 63, 580
"d:\workspace\cj\src\views\ModerationDetail\ModerationDetail.vue", "vue", 0, 0, 0, 0, 484, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54, 545
"d:\workspace\cj\src\views\Moderation\Moderation.vue", "vue", 0, 0, 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32, 296
"d:\workspace\cj\src\views\NotFound404View\NotFound404View.vue", "vue", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 71
"d:\workspace\cj\src\views\Payment\Payment.vue", "vue", 0, 0, 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49, 373
"d:\workspace\cj\src\views\ProfileSetup\ProfileSetup.vue", "vue", 0, 0, 0, 0, 1352, 0, 0, 0, 0, 0, 0, 0, 0, 21, 178, 1551
"d:\workspace\cj\src\views\Profile\Profile.vue", "vue", 0, 0, 0, 0, 799, 0, 0, 0, 0, 0, 0, 0, 0, 11, 108, 918
"d:\workspace\cj\src\views\ReopenPage\ReopenPage.vue", "vue", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 212
"d:\workspace\cj\src\views\userCenter\userCenter.vue", "vue", 0, 0, 0, 0, 931, 0, 0, 0, 0, 0, 0, 0, 0, 10, 124, 1065
"d:\workspace\cj\tsconfig.json", "JSON with Comments", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\workspace\cj\vite.config.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 55
"Total", "-", 4, 13, 1720, 15, 13471, 23, 327, 140, 309, 1, 15138, 21, 119, 551, 2198, 34050
